,Title,Score,User_Score,Author,Platform,Genre
357,stardew-valley,score-9,8.4," ""Mary Kish""","and-,ios-,lnx-,mac-,-ns-,-pc-,ps4-,ita-,one-",Role-Playing
358,a-hat-in-time,score-7,8.6," ""Kallie Plagge""","mac-,-ns-,-pc-,ps4-,one-","3D,Action,Platformer"
359,mario-and-luigi-superstar-saga-bowsers-minions-rev,score-8,9.1," ""Heidi Kemps""","3ds-,gba-",Role-Playing
360,gundam-versus,score-7,6.4," ""James Swinbanks""",ps4-,Simulation
361,middle-earth-shadow-of-war,score-7,7.4," ""Justin Haywald""","-pc-,ps4-,one-","Adventure,Action"
362,fifa-18-nintendo-switch,score-5,6.7," ""Oscar Dayus""","-ns-,-pc-,ps3-,ps4-,360-,one-","Simulation,Soccer,Sports,Team-Based"
363,forza-motorsport-7,score-8,6.6," ""Miguel Concepcion""","-pc-,one-","Driving-Racing,Simulation"
364,battle-chasers-nightwar,score-6,7.7," ""Justin Clark""","lnx-,mac-,-ns-,-pc-,ps4-,one-",Role-Playing
365,batman-the-enemy-within-episode-2-the-pact,score-8,8.2," ""Tamoor Hussain""","and-,ios-,mac-,-ns-,-pc-,ps4-,one-",Adventure
366,star-fox-2,score-5,8.4," ""Michael Higham""",nes-,"Action,On-Rails,Shooter,3D"
367,cuphead,score-8,8.4," ""Peter Brown""","mac-,-ns-,-pc-,one-","Platformer,2D,Action"
368,danganronpa-v3-killing-harmony,score-7,8," ""Kallie Plagge""","-pc-,ps4-,ita-",Adventure
369,wrc-7,score-7,7.8," ""James Swinbanks""","-pc-,ps4-,one-","Driving-Racing,Simulation"
370,figment,score-7,6.8," ""Leif Johnson""","lnx-,mac-,-ns-,-pc-,ps4-,one-",Action
371,nba-2k18,score-8,5.9," ""Seth Macy""","and-,ios-,-ns-,-pc-,ps3-,ps4-,360-,one-","Basketball,Simulation,Sports,Team-Based"
372,total-war-warhammer-2,score-9,8.2," ""Daniel Starkey""","lnx-,mac-,-pc-","Real-Time,Strategy"
373,nba-live-18,score-7,6.8," ""Miguel Concepcion""","ps4-,one-","Sports,Team-Based,Basketball,Simulation"
374,ruiner,score-8,7.6," ""David Rayfield""","lnx-,mac-,-pc-,ps4-,one-",Action
375,steamworld-dig-2,score-9,8.8," ""Matt Espineli""","3ds-,lnx-,mac-,-ns-,-pc-,ps4-,ita-,one-","Adventure,Action"
376,project-cars-2,score-7,7.3," ""Richard Wakeling""","-pc-,ps4-,one-","Driving-Racing,v-r,Simulation"
377,tooth-and-tail,score-8,6.5," ""Daniel Starkey""","lnx-,mac-,-pc-,ps4-","Real-Time,Strategy"
378,fifa-18,score-7,6.7," ""Oscar Dayus""","-ns-,-pc-,ps3-,ps4-,360-,one-","Team-Based,Simulation,Soccer,Sports"
379,marvel-vs-capcom-infinite,score-8,6.1," ""Tamoor Hussain""","-pc-,ps4-,one-","2D,Fighting,Action"
380,nhl-18,score-7,6.5," ""Seth Macy""","ps4-,one-","Team-Based,Hockey,Simulation,Sports"
381,echo,score-8,6.7," ""Justin Clark""","-pc-,ps4-","Action,Adventure"
382,dishonored-death-of-the-outsider,score-8,6.6," ""Alessandro Fillari""","-pc-,ps4-,one-","Adventure,Action"
383,dont-knock-twice,score-5,4.9," ""Justin Clark""","-ns-,-pc-,ps4-,one-","v-r,3D,Adventure,First-Person"
